cluster_id,phrase,term
43,Teddy Roosevelt,carry
43,Thomas Jefferson,good thing
43,Thomas Jefferson,little
43,Thomas Paine,times
43,Thoreau,civil
43,Winston Churchill,fight
43,Winston Churchill,shall
44,Apollo,lunar
44,Carl Sagan,astronomy
44,Carl Sagan,society
44,Gemini,sign
44,Gemini,twins
44,Leo,lion's
44,Libra,balance
44,Libra,sign
44,Moon,celestial
44,Neptune,planets
44,Sagittarius,centaur
44,Saturn,ring
44,Scorpio,stung
44,Sirius,bright star
44,Sun,objects
44,Voyager,spacecraft
45,Alzheimer's Disease,loss
45,Eustachian Tube,ears
45,Heimlich Maneuver,method
45,Hippocrates,medical
46,Africa,continent's
46,Antarctica,continent's
46,Argentina,south america's
46,Argentina,south american
46,Australia,continent's
46,Europe,continent's
46,Great Lakes,group
46,India,plateau
46,Indian Ocean,sunda
46,Norway,northerly
46,South America,continent's
46,Switzerland,canton
47,Adele,deep
47,Aerosmith,don't want
47,Ariana Grande,free
47,Beatles,drummer
47,Billie Eilish,fall
47,Black,rolling
47,Bruno Mars,heaven
47,Elton John,road
47,Elvis Presley,blue
47,Eminem,rap
47,Jay-Z,shawn
47,Johnny Cash,prison
47,Lady Gaga,face
47,Lady Gaga,way
47,Mariah Carey,want
47,Paul Simon,away
47,Rihanna,eh
47,Rolling Stones,group's
47,Van Halen,sammy
48,Descartes,frenchman
48,Earth,average distance
48,Euclid,book
48,Fahrenheit,point
49,Alaska,mammal
49,Amazon,river's
49,Antarctica,continent's
49,Arctic,trip
49,Australia,mammals
49,Bactrian camel,hump
49,Canada,birds
49,China,giant
49,Florida,alligators
49,Galapagos,islands
49,Great Dane,breeds
49,North America,continents
